ID,Image,Price,Brand,Link
45,wildberries_dress45.jpg,16 280 тг.,Rosanna /Платье,https://www.wildberries.kz/catalog/6122507/detail.aspx?targetUrl=GP
46,wildberries_dress46.jpg,28 770 тг.,Cavo /Платье,https://www.wildberries.kz/catalog/5801579/detail.aspx?targetUrl=GP
47,wildberries_dress47.jpg,23 770 тг.,TRG New ideas for life /Платье,https://www.wildberries.kz/catalog/7354496/detail.aspx?targetUrl=GP
48,wildberries_dress48.jpg,24 990 тг.,Self Made /Платье,https://www.wildberries.kz/catalog/7418162/detail.aspx?targetUrl=GP
49,wildberries_dress49.jpg,11 200 тг.,W fashion /Платье,https://www.wildberries.kz/catalog/5844489/detail.aspx?targetUrl=GP
50,wildberries_dress50.jpg,36 020 тг.,ZERKALA /Платье,https://www.wildberries.kz/catalog/6732794/detail.aspx?targetUrl=GP
51,wildberries_dress51.jpg,18 390 тг.,KATA BINSKA /Платье,https://www.wildberries.kz/catalog/4817429/detail.aspx?targetUrl=GP
52,wildberries_dress52.jpg,5 080 тг.,ТВОЕ /Платье,https://www.wildberries.kz/catalog/6083566/detail.aspx?targetUrl=GP
53,wildberries_dress53.jpg,9 390 тг.,BARKHAT /Платье,https://www.wildberries.kz/catalog/6447873/detail.aspx?targetUrl=GP
54,wildberries_dress54.jpg,12 960 тг.,Адель /Платье,https://www.wildberries.kz/catalog/5746958/detail.aspx?targetUrl=GP
55,wildberries_dress55.jpg,12 420 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/5856149/detail.aspx?targetUrl=GP
56,wildberries_dress56.jpg,17 370 тг.,EMKA FASHION /Платье,https://www.wildberries.kz/catalog/6364053/detail.aspx?targetUrl=GP
57,wildberries_dress57.jpg,8 000 тг.,Panda /Платье,https://www.wildberries.kz/catalog/5848975/detail.aspx?targetUrl=GP
58,wildberries_dress58.jpg,9 030 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/7195219/detail.aspx?targetUrl=GP
59,wildberries_dress59.jpg,23 860 тг.,BERKLINE /Платье,https://www.wildberries.kz/catalog/7072462/detail.aspx?targetUrl=GP
60,wildberries_dress60.jpg,20 990 тг.,Concept Club /Платье,https://www.wildberries.kz/catalog/7094447/detail.aspx?targetUrl=GP
61,wildberries_dress61.jpg,29 410 тг.,Kayros /Платье,https://www.wildberries.kz/catalog/4830312/detail.aspx?targetUrl=GP
62,wildberries_dress62.jpg,35 220 тг.,GUESS /Платье,https://www.wildberries.kz/catalog/7327008/detail.aspx?targetUrl=GP
63,wildberries_dress63.jpg,38 540 тг.,Eva Davidova /Платье,https://www.wildberries.kz/catalog/4297806/detail.aspx?targetUrl=GP
64,wildberries_dress64.jpg,13 420 тг.,Культ платья BRACEGIRDLE /Платье,https://www.wildberries.kz/catalog/3328216/detail.aspx?targetUrl=GP
65,wildberries_dress65.jpg,14 860 тг.,VERA NOVA /Платье,https://www.wildberries.kz/catalog/5133212/detail.aspx?targetUrl=GP
66,wildberries_dress66.jpg,50 680 тг.,GUESS /Платье,https://www.wildberries.kz/catalog/7351257/detail.aspx?targetUrl=GP
67,wildberries_dress67.jpg,6 570 тг.,"Апрель /Платье ""Бенефис""",https://www.wildberries.kz/catalog/7203144/detail.aspx?targetUrl=GP
68,wildberries_dress68.jpg,12 520 тг.,Rosanna /Платье,https://www.wildberries.kz/catalog/5992695/detail.aspx?targetUrl=GP
69,wildberries_dress69.jpg,13 990 тг.,PRIO /Платье,https://www.wildberries.kz/catalog/6618125/detail.aspx?targetUrl=GP
70,wildberries_dress70.jpg,37 250 тг.,GUESS /Платье,https://www.wildberries.kz/catalog/7591380/detail.aspx?targetUrl=GP
71,wildberries_dress71.jpg,5 990 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7166589/detail.aspx?targetUrl=GP
72,wildberries_dress72.jpg,20 650 тг.,1001 DRESS /Платье,https://www.wildberries.kz/catalog/6827537/detail.aspx?targetUrl=GP
73,wildberries_dress73.jpg,4 490 тг.,oodji /Платье,https://www.wildberries.kz/catalog/4689497/detail.aspx?targetUrl=GP
74,wildberries_dress74.jpg,9 590 тг.,O'Stin /Платье,https://www.wildberries.kz/catalog/7536399/detail.aspx?targetUrl=GP
75,wildberries_dress75.jpg,26 410 тг.,ZERKALA /Платье,https://www.wildberries.kz/catalog/6941675/detail.aspx?targetUrl=GP
76,wildberries_dress76.jpg,16 130 тг.,1001 DRESS /Платье,https://www.wildberries.kz/catalog/6561803/detail.aspx?targetUrl=GP
77,wildberries_dress77.jpg,20 130 тг.,Культ платья BRACEGIRDLE /Платье,https://www.wildberries.kz/catalog/2120550/detail.aspx?targetUrl=GP
78,wildberries_dress78.jpg,11 510 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/6594820/detail.aspx?targetUrl=GP
79,wildberries_dress79.jpg,14 400 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/6629696/detail.aspx?targetUrl=GP
80,wildberries_dress80.jpg,4 930 тг.,ТВОЕ /Платье,https://www.wildberries.kz/catalog/7329997/detail.aspx?targetUrl=GP
81,wildberries_dress81.jpg,44 080 тг.,S.OLIVER /Платье,https://www.wildberries.kz/catalog/5915815/detail.aspx?targetUrl=GP
82,wildberries_dress82.jpg,8 220 тг.,C.H.I.C. /Платье,https://www.wildberries.kz/catalog/6888208/detail.aspx?targetUrl=GP
83,wildberries_dress83.jpg,16 100 тг.,MALKOVICH /Платье,https://www.wildberries.kz/catalog/6041061/detail.aspx?targetUrl=GP
84,wildberries_dress84.jpg,7 670 тг.,O'Stin /Платье,https://www.wildberries.kz/catalog/7536885/detail.aspx?targetUrl=GP
85,wildberries_dress85.jpg,34 570 тг.,ZERKALA /Платья,https://www.wildberries.kz/catalog/5398544/detail.aspx?targetUrl=GP
86,wildberries_dress86.jpg,27 110 тг.,Eva Davidova /Платье,https://www.wildberries.kz/catalog/5497018/detail.aspx?targetUrl=GP
87,wildberries_dress87.jpg,44 080 тг.,S.OLIVER /Платье,https://www.wildberries.kz/catalog/5915816/detail.aspx?targetUrl=GP
88,wildberries_dress88.jpg,40 340 тг.,ZERKALA /Платья,https://www.wildberries.kz/catalog/5398560/detail.aspx?targetUrl=GP
89,wildberries_dress89.jpg,31 220 тг.,ZERKALA /Платье,https://www.wildberries.kz/catalog/6713841/detail.aspx?targetUrl=GP
90,wildberries_dress90.jpg,24 070 тг.,A.Karina /Платье,https://www.wildberries.kz/catalog/7277720/detail.aspx?targetUrl=GP
91,wildberries_dress91.jpg,18 200 тг.,Mango /Платье - LEONOR4,https://www.wildberries.kz/catalog/6796605/detail.aspx?targetUrl=GP
92,wildberries_dress92.jpg,17 250 тг.,Nothing but Love /Платье Красавица Лакнау с принтом в индийском стиле,https://www.wildberries.kz/catalog/5049855/detail.aspx?targetUrl=GP
93,wildberries_dress93.jpg,21 990 тг.,Mango /Платье - DOBLE,https://www.wildberries.kz/catalog/7349558/detail.aspx?targetUrl=GP
94,wildberries_dress94.jpg,23 240 тг.,Finn Flare /Платье,https://www.wildberries.kz/catalog/7514949/detail.aspx?targetUrl=GP
95,wildberries_dress95.jpg,16 190 тг.,Barcelonica /Платье,https://www.wildberries.kz/catalog/5490787/detail.aspx?targetUrl=GP
96,wildberries_dress96.jpg,40 950 тг.,Eva Davidova /Платье,https://www.wildberries.kz/catalog/6093932/detail.aspx?targetUrl=GP
97,wildberries_dress97.jpg,5 950 тг.,INCITY /Платье,https://www.wildberries.kz/catalog/6201387/detail.aspx?targetUrl=GP
98,wildberries_dress98.jpg,8 330 тг.,Befree /Платье,https://www.wildberries.kz/catalog/6791244/detail.aspx?targetUrl=GP
99,wildberries_dress99.jpg,35 220 тг.,GUESS /Платье,https://www.wildberries.kz/catalog/7327007/detail.aspx?targetUrl=GP
100,wildberries_dress100.jpg,2 230 тг.,Modis /Платье,https://www.wildberries.kz/catalog/5689819/detail.aspx?targetUrl=GP
101,wildberries_dress101.jpg,17 380 тг.,A.Karina /Платье,https://www.wildberries.kz/catalog/6813890/detail.aspx?targetUrl=GP
102,wildberries_dress102.jpg,101 260 тг.,Alisia Fiori /Платье Кьяра Blue W,https://www.wildberries.kz/catalog/6713851/detail.aspx?targetUrl=GP
103,wildberries_dress103.jpg,9 590 тг.,O'Stin /Платье,https://www.wildberries.kz/catalog/7536371/detail.aspx?targetUrl=GP
104,wildberries_dress104.jpg,35 960 тг.,LT DESIGN /Платье-рубашка,https://www.wildberries.kz/catalog/5832926/detail.aspx?targetUrl=GP
105,wildberries_dress105.jpg,34 250 тг.,Self Made /Платье,https://www.wildberries.kz/catalog/7195235/detail.aspx?targetUrl=GP
106,wildberries_dress106.jpg,23 740 тг.,S.OLIVER /Платье,https://www.wildberries.kz/catalog/5629716/detail.aspx?targetUrl=GP
107,wildberries_dress107.jpg,31 220 тг.,Gorchica /Платье,https://www.wildberries.kz/catalog/7483886/detail.aspx?targetUrl=GP
108,wildberries_dress108.jpg,18 200 тг.,Mango /Платье - RAIN2,https://www.wildberries.kz/catalog/6950869/detail.aspx?targetUrl=GP
109,wildberries_dress109.jpg,13 400 тг.,Abby /Платье,https://www.wildberries.kz/catalog/7096754/detail.aspx?targetUrl=GP
110,wildberries_dress110.jpg,34 800 тг.,KalinaLook /Платья,https://www.wildberries.kz/catalog/6577382/detail.aspx?targetUrl=GP
111,wildberries_dress111.jpg,14 120 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/6702235/detail.aspx?targetUrl=GP
